,alice,atlas,cms,lhcb,Total, Percent, 
CA-TRIUMF,0,41624805.4446,0,0,41624805,2.98%
CH-CERN,183258671.8231,136115249.1156,3992275.9787,36352033.0406,359718230,25.77%
DE-KIT,26655552.0711,46181412.2779,26928265.5218,29651869.8294,129417100,9.27%
ES-PIC,0,17114598.4338,11873068.1639,7191339.8464,36179006,2.59%
FR-CCIN2P3,9895710.3673,49440138.2507,15456827.6458,22873866.1980,97666542,7.00%
IT-INFN-CNAF,18435002.0742,16300654.4924,25037973.0141,25692712.0883,85466342,6.12%
KR-KISTI-GSDC,21745507.8306,0,0,0,21745508,1.56%
NDGF,8372992.3106,32223353.8438,0,0,40596346,2.91%
NL-T1,21211832.1538,61965041.3961,0,37672177.8242,120849051,8.66%
NRC-KI-T1,26261550.1383,24280232.8772,0,18136124.5711,68677908,4.92%
RU-JINR-T1,0,0,18657245.4734,0,18657245,1.34%
TW-ASGC,0,17333358.9147,0,0,17333359,1.24%
UK-T1-RAL,18433587.0962,49174512.9289,15252443.3169,51592790.8041,134453334,9.63%
US-FNAL-CMS,0,8108.1794,120832169.0535,0,120840277,8.66%
US-T1-BNL,0,102390357.3176,131.6800,0,102390489,7.34%
Total,334270406,594151823,238030400,229162914,1395615543,
Percent,23.95%,42.57%,17.06%,16.42%,,
2%
Total, 299850837, 646902483, 262072292, 182368852, 1391194465, 
Percent, 21.55%, 46.50%, 18.84%, 13.11%, , 
